id;name;description;organisation_id
84;Lit-Up Stix;Lit-Up Stix;9
85;R-Genius Data;R-Genius Data;9
86;Boulder Data Sources;Boulder Data Sources;9
87;Curatek Data;Curatek Data;9
88;Data Source IQ;Data Source IQ;9
89;Anhui Gaochen;Anhui Gaochen;9
90;Ekkpopov;Ekkpopov;9
91;Budwigs DPM;Budwigs DPM;10
92;Jareds SEO;Jareds SEO;10
93;Tailored Reprisals;Tailored Reprisals;10
94;Bry Lintz;Bry Lintz;10
95;Just Scams;Just Scams;10
96;Aamco Watson;Aamco Watson;10
97;Newscaster Solutions;Newscaster Solutions;10
98;Xpointes;Xpointes;10
99;Rent a Slicer;Rent a Slicer;10
100;GoToMeanData;GoToMeanData;10
101;Kubilka;Kubilka;11
102;A+ Business Insight;A+ Business Insight;11
103;Fiction Jungle;Fiction Jungle;11
104;Rikky's Jerk;Rikky's Jerk;11
105;Familar Source;Familar Source;11
106;Dalekin Media;Dalekin Media;11
107;Yen's Nf;Yen's Nf;11
108;Aussie Tech Data;Aussie Tech Data;11
109;Sinkle Monkey;Sinkle Monkey;11
110;The Linguery;The Linguery;11
111;Accon Therapes;Accon Therapes;12
112;StratLogic Data;StratLogic Data;12
113;Voltage Research;Voltage Research;12
114;Intentional Scrap;Intentional Scrap;12
115;Data Sources Direct;Data Sources Direct;12
116;Quit Chatbots;Quit Chatbots;12
117;Cheshire Hathaway;Cheshire Hathaway;12
118;Quimicen;Quimicen;12
119;Stahlle & Stahl;Stahlle & Stahl;12
120;Intentional Curves;Intentional Curves;12
121;The Canned Bear;The Canned Bear;13
122;My Little Blackboard;My Little Blackboard;13
123;Find Scenarios;Find Scenarios;13
124;Genesee Data;Genesee Data;13
125;Academic Index Data;Academic Index Data;13
126;Lucky's Pottery;Lucky's Pottery;13
127;Acorns Pages;Acorns Pages;13
128;Insight Data Library;Insight Data Library;13
129;Abuzz Analytics;Abuzz Analytics;13
130;Data Crunchy;Data Crunchy;13
131;Ease One Resources;Ease One Resources;14
132;Lap Dog Research;Lap Dog Research;14
133;Stapit Bay;Stapit Bay;14
134;Scrunchies By Jo;Scrunchies By Jo;14
135;UCSD Media;UCSD Media;14
136;Proximus Research;Proximus Research;14
137;Foam Research;Foam Research;14
138;Aurora Bakers;Aurora Bakers;14
139;AIM Data Solutions;AIM Data Solutions;14
140;Evaluate Routine;Evaluate Routine;14
141;Macleay Science;Macleay Science;15
142;Lovingly Indulge;Lovingly Indulge;15
143;Hemag Arch;Hemag Arch;15
144;Lovingly Infused;Lovingly Infused;15
145;Rapidly sourced;Rapidly sourced;15
146;AJV Data Solutions.;AJV Data Solutions.;15
147;Plotted In;Plotted In;15
148;Bigger Picture Data;Bigger Picture Data;15
149;GeniCurious;GeniCurious;15
150;R2U Labs;R2U Labs;15
151;OneQuark Solutions;OneQuark Solutions;16
152;Piece Upon Piece;Piece Upon Piece;16
153;Data Sources Q;Data Sources Q;16
154;Routes & Data;Routes & Data;16
155;The Batch Game;The Batch Game;16
156;Flock 'n Fizz;Flock 'n Fizz;16
157;Sourcing Innovations;Sourcing Innovations;16
158;Forked Fig;Forked Fig;16
159;Kelley Clark PhD;Kelley Clark PhD;16
160;I'll Wank;I'll Wank;16
161;Wyrde Marketing;Wyrde Marketing;17
162;Cleveland Cleats;Cleveland Cleats;17
163;A/Profiled;A/Profiled;17
164;Honest-1 Source;Honest-1 Source;17
165;The Source Yard;The Source Yard;17
166;Xpert Gives;Xpert Gives;17
167;Envie Credit Repair;Envie Credit Repair;17
168;Data by Tanya;Data by Tanya;17
169;Happiness Knows;Happiness Knows;17
170;Lloyds Bankers;Lloyds Bankers;17
171;Noosa Mining Co;Noosa Mining Co;18
172;Smoookt;Smoookt;18
173;Bing and Cai-Zhang;Bing and Cai-Zhang;18
174;Ignotam;Ignotam;18
175;Envy Library;Envy Library;18
176;I Just Dump Dat;I Just Dump Dat;18
177;CSIRO Entree;CSIRO Entree;18
178;Good Eaves;Good Eaves;18
179;Punktive;Punktive;18
180;AllAboutMe.com;AllAboutMe.com;18
181;Bodie Genomics;Bodie Genomics;19
182;A.A.A.Budgie;A.A.A.Budgie;19
183;Rudy's Rental;Rudy's Rental;19
184;Lice On the Go;Lice On the Go;19
185;Hakim Data;Hakim Data;19
186;DataSourceLoan;DataSourceLoan;19
187;Likr Labs;Likr Labs;19
188;Ancix Logic;Ancix Logic;19
189;Unstoppable Images;Unstoppable Images;19
190;Khan's Data;Khan's Data;19
191;We Market My Booze;We Market My Booze;20
192;Data Source America;Data Source America;20
193;Stork Resource;Stork Resource;20
194;Wireditude;Wireditude;20
195;A-Z Data Mining;A-Z Data Mining;20
196;Adornx Data;Adornx Data;20
197;Facts N' More;Facts N' More;20
198;Doodyfied;Doodyfied;20
199;Diana Crowsfoot;Diana Crowsfoot;20
200;Data-Dependable;Data-Dependable;20
